"Name","dataset","noise","model","seed_group","noise_p","noise_r","test/accuracy","test/rre","test/nmi"
"unique-sweep-94","orl","salt_and_pepper","l1_robust","1e17e3c34c573f622f219161c0bd429a840a020677d6c2c62121cfbcf5bc12eb","0.1","0","0.7583333333333333","0.15706317073853968","0.8804763969386002"
"glowing-sweep-93","orl","salt_and_pepper","l1_robust","1e17e3c34c573f622f219161c0bd429a840a020677d6c2c62121cfbcf5bc12eb","0.1","0","0.7194444444444444","0.1563169314231457","0.8421447359685439"
"spring-sweep-92","orl","salt_and_pepper","l1_robust","1e17e3c34c573f622f219161c0bd429a840a020677d6c2c62121cfbcf5bc12eb","0.1","0","0.7194444444444444","0.15638072602973185","0.8373007054902369"
"noble-sweep-91","orl","salt_and_pepper","l1_robust","1e17e3c34c573f622f219161c0bd429a840a020677d6c2c62121cfbcf5bc12eb","0.1","0","0.7388888888888889","0.15821260706961784","0.8521730447496423"
"mild-sweep-90","orl","salt_and_pepper","l21","a9bfd9399f40e6d8cbb69a923e3243580149986e6d5844a473eed56b5d82e2ab","0.4","1","0.30833333333333335","0.5683221478918347","0.5112693906060861"
"major-sweep-89","orl","salt_and_pepper","l21","a9bfd9399f40e6d8cbb69a923e3243580149986e6d5844a473eed56b5d82e2ab","0.4","1","0.3138888888888889","0.5688495158273426","0.511167200249073"
"glorious-sweep-88","orl","salt_and_pepper","l21","a9bfd9399f40e6d8cbb69a923e3243580149986e6d5844a473eed56b5d82e2ab","0.4","1","0.3138888888888889","0.5653149546150557","0.5208433124990552"
"blooming-sweep-87","orl","salt_and_pepper","l21","a9bfd9399f40e6d8cbb69a923e3243580149986e6d5844a473eed56b5d82e2ab","0.4","1","0.3111111111111111","0.5652871475684009","0.49870661817912465"
"dry-sweep-86","orl","salt_and_pepper","l21","a9bfd9399f40e6d8cbb69a923e3243580149986e6d5844a473eed56b5d82e2ab","0.4","1","0.3277777777777778","0.5692631910135937","0.5235460918145438"
"unique-sweep-85","orl","salt_and_pepper","l21","fca7d59f7ab472663903756c0a9d11497aca9cfadf52195db353f98739d721ea","0.4","0.5","0.2972222222222222","0.3393571379634424","0.4845037655782145"
