"Name","dataset","noise","model","seed_group","noise_blocks","noise_blocksize","test/accuracy","test/rre","test/nmi"
"peach-sweep-10","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.26666666666666666","0.4245270634399883","0.45284105227283794"
"lunar-sweep-9","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.2722222222222222","0.42604614559509146","0.4515114984127494"
"swift-sweep-8","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.2388888888888889","0.4177588675491073","0.42164542339833183"
"hardy-sweep-7","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.24722222222222223","0.4186999593510322","0.4377554397566448"
"electric-sweep-6","orl","missing_block","standard","5eec4ddcf140337d3e14f94406410f5e08e9cf9a384da0157ef0925b87f7e407","8","8","0.24444444444444444","0.4238689994281876","0.4262923390487046"
"autumn-sweep-5","orl","missing_block","standard","0752cf55a54d7dbcd7a24033c9867675c3e9ea51bd1c6c4d86fe1ede63ff097a","8","4","0.625","0.21523464788462496","0.7666656786656926"
"mild-sweep-4","orl","missing_block","standard","0752cf55a54d7dbcd7a24033c9867675c3e9ea51bd1c6c4d86fe1ede63ff097a","8","4","0.6083333333333333","0.21282522736275727","0.7498102237677555"
"sage-sweep-3","orl","missing_block","standard","0752cf55a54d7dbcd7a24033c9867675c3e9ea51bd1c6c4d86fe1ede63ff097a","8","4","0.5888888888888889","0.21357724660016195","0.7457432901840015"
"zesty-sweep-2","orl","missing_block","standard","0752cf55a54d7dbcd7a24033c9867675c3e9ea51bd1c6c4d86fe1ede63ff097a","8","4","0.6416666666666667","0.21336439527812176","0.7757533817907339"
"hardy-sweep-1","orl","missing_block","standard","0752cf55a54d7dbcd7a24033c9867675c3e9ea51bd1c6c4d86fe1ede63ff097a","8","4","0.6194444444444445","0.2134502293032079","0.7612045258780576"
