"Name","dataset","noise","model","seed_group","noise_p","noise_r","test/accuracy","test/rre","test/nmi"
"distinctive-sweep-260","yaleb","salt_and_pepper","l1_robust","72f31b36439e5e10c5c1d3d7587fc5ea890ba302cc7c19846757bece83a68a89","0.4","0","0.1625230202578269","0.3817128370851039","0.20517736058600017"
"clear-sweep-259","yaleb","salt_and_pepper","l1_robust","72f31b36439e5e10c5c1d3d7587fc5ea890ba302cc7c19846757bece83a68a89","0.4","0","0.18646408839779005","0.3835690537810746","0.23165340413039057"
"daily-sweep-258","yaleb","salt_and_pepper","l1_robust","72f31b36439e5e10c5c1d3d7587fc5ea890ba302cc7c19846757bece83a68a89","0.4","0","0.1712707182320442","0.3837703299216688","0.2236837812177647"
"tough-sweep-257","yaleb","salt_and_pepper","l1_robust","72f31b36439e5e10c5c1d3d7587fc5ea890ba302cc7c19846757bece83a68a89","0.4","0","0.17633517495395948","0.382000027316344","0.2321251493585766"
"valiant-sweep-256","yaleb","salt_and_pepper","l1_robust","72f31b36439e5e10c5c1d3d7587fc5ea890ba302cc7c19846757bece83a68a89","0.4","0","0.1694290976058932","0.3827782895195739","0.21990705743324493"
"silvery-sweep-255","yaleb","salt_and_pepper","l1_robust","abdbbc93ecfd4554781f845f9a3e3149d217a0553500e2cb9c765f765ffcee12","0.2","1","0.18278084714548803","0.2292089678322297","0.21048817275909237"
"divine-sweep-254","yaleb","salt_and_pepper","l1_robust","abdbbc93ecfd4554781f845f9a3e3149d217a0553500e2cb9c765f765ffcee12","0.2","1","0.17173112338858196","0.2279262327322618","0.21484376339892972"
"toasty-sweep-253","yaleb","salt_and_pepper","l1_robust","abdbbc93ecfd4554781f845f9a3e3149d217a0553500e2cb9c765f765ffcee12","0.2","1","0.1781767955801105","0.23007775330419297","0.2254277301466146"
"ancient-sweep-252","yaleb","salt_and_pepper","l1_robust","abdbbc93ecfd4554781f845f9a3e3149d217a0553500e2cb9c765f765ffcee12","0.2","1","0.17633517495395948","0.2273318217145028","0.2232699282908163"
"fresh-sweep-251","yaleb","salt_and_pepper","l1_robust","abdbbc93ecfd4554781f845f9a3e3149d217a0553500e2cb9c765f765ffcee12","0.2","1","0.16896869244935545","0.22909508211270885","0.21252435707898057"
"summer-sweep-250","yaleb","salt_and_pepper","l1_robust","7cfd6873c8a34b839aede27556b0782321ecc53e4bf4afe1b8a502aa859e6348","0.2","0.5","0.18830570902394103","0.1991886816943608","0.2478653786424002"
"stellar-sweep-249","yaleb","salt_and_pepper","l1_robust","7cfd6873c8a34b839aede27556b0782321ecc53e4bf4afe1b8a502aa859e6348","0.2","0.5","0.17495395948434622","0.19691206029701025","0.218213363513986"
"visionary-sweep-248","yaleb","salt_and_pepper","l1_robust","7cfd6873c8a34b839aede27556b0782321ecc53e4bf4afe1b8a502aa859e6348","0.2","0.5","0.19014732965009207","0.1979926119412125","0.23862865222404808"
"easy-sweep-247","yaleb","salt_and_pepper","l1_robust","7cfd6873c8a34b839aede27556b0782321ecc53e4bf4afe1b8a502aa859e6348","0.2","0.5","0.18646408839779005","0.1985304217964704","0.2385306281719223"
"sleek-sweep-246","yaleb","salt_and_pepper","l1_robust","7cfd6873c8a34b839aede27556b0782321ecc53e4bf4afe1b8a502aa859e6348","0.2","0.5","0.18186003683241253","0.19899519680744335","0.24469550825038447"
